 ID,Crop,Pest or Disease name,Diesease Photo,Causing Agent,Favorable Climate,Symptoms,Management,Crop Science view,Created,Updated
16,BOTTLE GOURD,FURSARIUM WILT,"{'url':'47fe7dc33abcd6d7f87ea49ff80a685d3a04b1c21176e9d6715b1af8cc2dd810.jpg','size':277650,'width':768,'height':576,'filename':'fusarium wilt.jpg','metadata':{'width':768,'height':576,'blurHash':'eDF~NxI99cyE8{0KIvxuM^?bEQob?Et8IVxG%0IoD+f#M{tRE2xZ%K','blurHashWidth':32}}",Pathogen : Fusarium oxysporum,"Soil Conditions: Fusarium Wilt thrives in warm, moist soil environments.
Temperature: Moderate temperatures ranging between 25-30°C (77-86°F) favor the growth and spread of the Fusarium fungus.","1) Wilting: Initial symptoms include wilting of leaves, usually on one side of the vine.
2) Yellowing: Leaves turn yellow or brown as the disease progresses, starting from the lower leaves and moving upward.
3) Stunted Growth: Infected plants may exhibit stunted growth and eventually die.","1) Resistant Varieties: Planting bottle gourd varieties resistant to Fusarium Wilt can help prevent the disease.
2) Soil Management: Practice crop rotation with non-susceptible crops to reduce the buildup of Fusarium in the soil.
Use sterilized or disease-free soil and certified disease-free seeds.
3) Sanitation: Remove and destroy infected plants to prevent the spread of the disease.
4) Fungicide Treatment: In severe cases, fungicides can be applied, although their effectiveness can vary. Consult with local agricultural experts for appropriate fungicide use and timing.
5) Preventative Measures: Ensure proper drainage to avoid waterlogging, which can create conditions favorable for Fusarium growth.
Maintain good plant health through balanced nutrition and proper watering practices.",BOTTLE GOURD,2025-04-09T03:47:48.990Z,2025-04-11T13:01:06.239Z
15,BOTTLE GOURD,APHIDS,"{'url':'7a968885659f6deac9f586b48fd76bde0c8c73525119b46a93282dd1b2b5693c.jpg','size':157251,'width':1280,'height':720,'filename':'aphids in bottle gourd.jpg','metadata':{'width':1280,'height':720,'blurHash':'eUHLuMa}tRt7oz_Nt7RjWBWBE2Rjs,WBWB-pj@bGofkCoekCWBRjfk','blurHashWidth':32}}","Insects: Aphids, such as Aphis gossypii (also known as the melon aphid), are common pests that affect bottle gourd plants.
Reproduction: Aphids reproduce quickly, giving rise to large populations that can damage plants.","Temperate Climate: Aphids thrive in mild to warm temperatures.
New Growth: They are often attracted to young, tender growth on plants.","1) Sap-Sucking: Aphids feed on the sap of bottle gourd plants, causing leaves to curl, yellow, or distort.
2) Sticky Residue (Honeydew): They excrete a sticky substance called honeydew, which can lead to the growth of sooty mold on the leaves.
3) Stunted Growth: Severe infestations can cause stunted growth and reduce yields.","1) Natural Predators: Encourage the presence of natural predators like ladybugs, lacewings, and parasitic wasps that feed on aphids.
2) Pruning and Spraying: Prune heavily infested parts of the plant.
3) Insecticidal soaps or neem oil, following instructions carefully.
4) Companion Planting: Planting companion crops like marigolds or basil can help repel aphids.
5) Regular Monitoring: Check plants regularly for aphid infestations, especially on new growth.",BOTTLE GOURD,2025-04-09T03:47:48.989Z,2025-04-11T13:00:48.117Z
14,BOTTLE GOURD,FRUIT FLY,"{'url':'9bdb37f820440f49f0a158b1ac392d6bd5ceb41664f6c7322367ed9e3dd4ea79.jpg','size':117731,'width':1024,'height':681,'filename':'fruit fly.jpg','metadata':{'width':1024,'height':681,'blurHash':'eZLXtvQ-NfbXRj~o?ERjNGspkC-.acR%%L%Lodn,NFxut7WUoMRjj]','blurHashWidth':32}}","Species: Bactrocera cucurbitae is a common fruit fly that attacks cucurbit crops like bottle gourd.
Life Cycle: The fruit fly lays eggs in the fruit, and the larvae feed inside, causing damage.","Temperature: Warm temperatures ranging from 25-35°C (77-95°F) are favorable for fruit fly activity and reproduction.
Moisture: High humidity levels and damp conditions can favor their development.","1) Egg-Laying: Female fruit flies lay eggs under the skin of the fruit, which hatch into larvae.
2) Damage to Fruit: Larvae feed inside the fruit, causing it to rot, become soft, and eventually drop prematurely.
3) Visible Entry Points: Small puncture marks or holes on the fruit surface indicate the entry of fruit fly larvae.","1) Sanitation: Remove and destroy infested or damaged fruits promptly to prevent further breeding of fruit flies.
2) Fruit Bagging: Bagging developing fruits with fine mesh bags or cloth can prevent fruit fly access.
3)Trap Crops: Planting trap crops nearby may divert fruit flies away from the main crop.
4) Parasitoid Wasps: Encourage the presence of parasitoid wasps that prey on fruit fly larvae.
5) Insecticides: Apply approved insecticides or organic alternatives following recommended guidelines and schedules.
6) Monitoring: Regularly monitor the crop for signs of infestation to take timely action.
7) Fruit Protection: Use physical barriers like netting or bags to cover developing fruits and protect them from fruit fly infestation.",BOTTLE GOURD,2025-04-09T03:47:48.987Z,2025-04-11T13:00:36.808Z
13,BOTTLE GOURD,POWDERY MILDEW,"{'url':'e3f2002833f0f7f679702a1073ce051266288398fe2bc1b898a3d2a4d4462f6a.jpg','size':183792,'width':1024,'height':723,'filename':'powdery mildew.jpg','metadata':{'width':1024,'height':723,'blurHash':'ePDwN9w~RBX3ID?txtWCRkRkDGoxx?jboeM+M}kBt6ofxuWBafaitQ','blurHashWidth':32}}",Pathogen : Podosphaera xanthii.,Moderate temperatures around 20-30°C (68-86°F) and High Humidity with much rain.,"1) White Powdery Growth: It typically starts as small, white powdery spots on the upper surface of leaves.
2) Leaf Damage: As the infection progresses, the spots enlarge, and a white powdery layer covers leaves, stems, and even fruit.
3)Leaf Curling: Leaves may curl or distort due to the fungal growth, affecting photosynthesis.","1) Spacing: Maintain proper plant spacing to ensure good air circulation between plants.
2) Watering: Avoid overhead irrigation; water at the base of plants to keep foliage dry.
3) Sanitation: Remove and destroy infected plant parts to prevent the spread of the disease.
4) Use Beneficial Organisms: Some beneficial fungi or bacteria can be employed to combat powdery mildew.
5) Fungicides: Apply fungicides like sulfur, neem oil, potassium bicarbonate, or other appropriate chemicals following recommended dosages and schedules.
6) Resistant Varieties: Consider planting bottle gourd varieties that are resistant or less susceptible to powdery mildew.
7) Preventive Measures: Regularly monitor plants for early signs of powdery mildew and take immediate action to manage the disease.
8) Crop Rotation : Rotate crops to prevent the buildup of pathogens in the soil.
9) Organic Remedies: Milk Spray: Some studies suggest that a diluted milk solution (1 part milk to 9 parts water) sprayed on plants may help control powdery mildew.",BOTTLE GOURD,2025-04-09T03:47:48.985Z,2025-04-11T13:00:23.931Z
12,TOMATO,Root-Knot Nematodes (Meloidogyne spp.),"{'url':'249d94c144e5cee86311aa96ab7830719e427e33f5740cc356c909a6db14ce9b.jpeg','size':56317,'width':452,'height':361,'filename':'Root-knot Nematode.jpeg','metadata':{'width':452,'height':361,'blurHash':'e7JZxG?F?G~U%M~9NGxZM|Ipxv-nxukWbw^ji_R,xs%0kXxtSit7%L','blurHashWidth':32}}", Meloidogyne incognita and Meloidogyne javanica being common species that infest tomatoes.,"Warm soil temperatures, typically between 24°C to 29°C (75°F and 85°F).","1) Galls: The most characteristic symptom is the formation of swollen, knotted galls on the roots, which can vary in size and number.
2) Stunting: Infected plants may exhibit stunted growth, reduced vigor, and a general unthriftiness.
3) Yellowing and Wilting: Affected plants may show symptoms of nutrient deficiency, such as yellowing and wilting.
4) Mode of Infection: Root-Knot Nematodes infest plants by penetrating the roots through specialized mouthparts and inject enzymes that cause plant cells to form galls.
These nematodes have a wide host range and can persist in the soil for extended periods.","1) Resistant Varieties: Some tomato cultivars have been bred for resistance to specific species of Root-Knot Nematodes. Using resistant varieties is an effective preventive measure.
2) Soil Solarization: Solarizing the soil by covering it with clear plastic during the hot summer months can help reduce nematode populations.
3) Nematicides: Chemical nematicides can be used to manage nematode populations. However, they are typically reserved for severe infestations and must be applied according to label instructions. Eg: Volium Prime
4) Crop Rotation: Rotating tomato crops with non-host crops can help reduce nematode populations in the soil.
",TOMATO,2025-04-09T03:47:48.983Z,2025-04-11T12:59:27.208Z
11,TOMATO,Southern Blight (Sclerotium rolfsii),"{'url':'032f74065a97b81975ebc19679759a08ea97562fb88f65993ae2d4dd9767044b.jpg','size':2314904,'width':3504,'height':2336,'filename':'Southern Blight 2.jpg','metadata':{'width':3504,'height':2336,'blurHash':'eHDTIeRRELX8xF_Li~NLW.s,-qIVn#oyRkRlRjjaoeafM|M}nis9Rk','blurHashWidth':32}}",Sclerotium rolfsii., Warm temperatures and high soil moisture levels.,"1) Wilting: Affected plants exhibit wilting, which often starts with lower leaves and progresses upwards.
2) Yellowing: Leaves may turn yellow or brown as the disease progresses.
3) Stem and Crown Lesions: The fungus causes stem and crown lesions, typically near the soil line, which can be brown and sunken.
4) White Mycelium Growth: A distinctive feature of Southern Blight is the formation of a white, cottony mycelium near the base of the plant and the presence of tan to brown spherical structures called sclerotia.
5) Mode of Infection: Sclerotium rolfsii infects plants through contact with infected soil or plant debris.
The fungus produces survival structures called sclerotia, which can persist in the soil and serve as a source of inoculum for years.","1) Soil Management: Soil solarization, crop rotation with non-host crops, and deep plowing can help reduce the fungal population in the soil.
2) Sanitation: Remove and destroy infected plant material to reduce the source of inoculum.
3) Biological Control: Some beneficial microorganisms can help suppress the pathogen. These may be used as part of an integrated disease management strategy.
4) Fungicides: Fungicides are generally not highly effective for managing Southern Blight in tomatoes, but some soil-applied products may provide limited control.
",TOMATO,2025-04-09T03:47:48.981Z,2025-04-11T12:59:06.479Z
10,TOMATO,Powdery Mildew (Oidium spp.),"{'url':'56ea8a4ab59e1dc1f6731f2fddbdd4fd38441a23c95af8e767d15bc16930b4c1.jpg','size':254771,'width':900,'height':600,'filename':'Powdery Mildew.jpg','metadata':{'width':900,'height':600,'blurHash':'e9D1T3jbVEMfrY?@R6r=t7xZ8xrus=oJxtM{i_RV%LtQXMjFbbWBW9','blurHashWidth':32}}",Oidium genus,"Warm, dry conditions with moderate temperatures around 20°C to 30°C (68°F to 86°F)","1) White, Powdery Growth: The most characteristic symptom is the appearance of a white, powdery substance on the upper and lower leaf surfaces, stems, and sometimes on fruit.
2) Leaf Curling and Distortion: Affected leaves may curl, twist, or become distorted.
3) Reduced Photosynthesis: The white fungal growth can interfere with photosynthesis, leading to reduced growth and yield.
4) Mode of Infection: Powdery Mildew spores, called conidia, are wind-borne and can land on plant surfaces.
Infection occurs when conidia germinate and penetrate the plant's outer layer of cells, usually the epidermis.","1) Resistant Varieties: Some tomato varieties are bred for resistance to Powdery Mildew. Using resistant varieties is an effective preventive measure.
Pruning and Air Circulation: Proper pruning of plants can increase air circulation, reducing humidity around the plants and making it less favorable for the disease.
2) Fungicides: Fungicidal treatments can be used to manage Powdery Mildew, particularly in high-risk situations. Sulfur-based and systemic fungicides are commonly used for this purpose.
3) Cultural Practices: Regularly remove and destroy infected leaves to reduce the spread of the disease.",TOMATO,2025-04-09T03:47:48.979Z,2025-04-11T12:58:47.032Z
9,TOMATO,Septoria Leaf Spot (Septoria lycopersici),"{'url':'714ea92e6bf2b7fedbc858b029e6abdfffdd3532cfda1c60d87f70970950bc84.JPG','size':17018,'width':256,'height':256,'filename':'Septoria Leaf Spot.JPG','metadata':{'width':256,'height':256,'blurHash':'eOJ*t]xu][%2oz?vs;xbj?WB=jWBXNbFNE-:R$NGoMayxcoMR$X5ai','blurHashWidth':32}}",Septoria lycopersici,"Humid and wet conditions, with moderate temperatures between 20°C to 25°C (68°F to 77°F)","1) Leaf Lesions: Small, circular to irregular-shaped lesions with dark brown to black centers and lighter borders develop on the lower leaves. The lesions often have a speckled or ""shot-hole"" appearance.
2) Lower Leaf Affection: The disease primarily targets the lower leaves of the plant and progresses upwards if environmental conditions favor its development.
3) Yellowing and Defoliation: As the disease progresses, leaves with lesions may turn yellow and eventually die, leading to defoliation.
4) Mode of Infection: The fungus enters tomato plants through natural openings such as stomata or wounds.
Infection typically occurs during wet conditions, and the disease is favored by high humidity.","1) Sanitation: Promptly remove and destroy infected plant material to reduce the source of inoculum.
2) Spacing and Air Circulation: Proper plant spacing and good air circulation can help reduce humidity around the plants, making the environment less favorable for disease development.
3) Avoiding Overhead Irrigation: Minimize leaf wetness by avoiding overhead irrigation and watering early in the day.
4) Fungicides: Fungicidal treatments can be effective in managing Septoria Leaf Spot. Copper-based fungicides and other recommended products can be used. These are most effective when applied preventively or during the early stages of infection.",TOMATO,2025-04-09T03:47:48.978Z,2025-04-11T12:58:19.638Z
8,TOMATO,Gray Mold (Botrytis cinerea),"{'url':'1caa790f6645ae976810a964961feec732f2e7ae3d9e99d076766d58e32955fa.jpeg','size':8900,'width':194,'height':259,'filename':'Gray Mold.jpeg','metadata':{'width':194,'height':259,'blurHash':'eWI5k;VvD%XlOS?dR%SHgNVvyDbYofxcnibvX4s=xvt5jIj0oyogWV','blurHashWidth':32}}",Botrytis cinerea,"cool and wet conditions, with High Humidity temperatures between 10°C and 20°C (50°F and 68°F).","1) Necrotic Lesions: Infected plant parts, including leaves, stems, flowers, and fruit, develop soft, water-soaked lesions that quickly turn brown and become covered with a characteristic gray, fuzzy, mold-like growth.
This gray growth is a prominent feature of the disease.
2) Rotting Fruit: In tomato fruit, Gray Mold often leads to fruit rot, resulting in significant losses.
3) Leaf Blighting: Infected leaves may develop irregular, necrotic areas with gray mold growth.
4) Mode of Infection: Botrytis cinerea can infect plants through wounds, senescent (aging) tissues, or natural openings like stomata.
The fungus can produce conidia (spores) that are dispersed through the air, water splashes, or contact.","1) Sanitation: Promptly remove and destroy infected plant material to prevent the spread of the fungus.
2) Good Air Circulation: Ensure adequate spacing between plants to promote air circulation and reduce humidity around the plants.
3) Reducing Leaf Wetness: Minimize the duration of leaf wetness by avoiding overhead irrigation, watering early in the day, and maintaining proper spacing.
4) Fungicides: Fungicidal treatments can be effective in managing Gray Mold, especially when applied preventively or when disease pressure is high.
Some commonly used fungicides include those based on captan, iprodione, and boscalid.",TOMATO,2025-04-09T03:47:48.976Z,2025-04-11T12:58:31.922Z
7,TOMATO,Bacterial Speck and Bacterial Spot (Pseudomonas syringae),"{'url':'67a0aa605bbf49bca6b49cd2503ce9b60d287f863ff71464392d5c35b8c32de9.JPG','size':16300,'width':256,'height':256,'filename':'Bacterial Spot.JPG','metadata':{'width':256,'height':256,'blurHash':'eDE3Ch54wUe9aM?FxaN2S2t6$.xHsltRbXRWR*tPs+obssbIovoyk8','blurHashWidth':32}}",Pseudomonas syringae pv.,"Both diseases favored by warm, wet conditions. High humidity and rainfall can increase disease severity.","1) Small, Dark Lesions: Circular to irregular-shaped, small (1-3 mm) black lesions with a raised, scabby appearance on the leaves, stems, and fruit.
2) Speckles: The lesions often resemble tiny black specks on the plant.
3) Leaf Yellowing: In some cases, leaves may exhibit yellowing around the lesions.
4) Spread: Both Bacterial Speck, Bacterial Spot can be spread through splashing water.","1) Sanitation: Remove and destroy infected plant material to reduce the spread of the bacteria.
2) Resistant Varieties: Some tomato varieties have resistance to these bacterial diseases.
3) Copper-Based Sprays: Copper-based bactericides are often used for control, although they are more effective as preventive measures.",TOMATO,2025-04-09T03:47:48.975Z,2025-04-11T12:58:00.796Z
6,TOMATO,Verticillium Wilt (Verticillium dahliae),"{'url':'2a7ab6afa84083319e2433cc58d1f5ba3ce3afdc9e23bd6f448cce68e17aaa71.jpeg','size':10221,'width':259,'height':194,'filename':'Verticillium Wilt.jpeg','metadata':{'width':259,'height':194,'blurHash':'eGD,[YNu8x~pNsx@sXt8Sv$6VZs9xbkqs,IoNFxabapHM{NFfiozRj','blurHashWidth':32}}","Verticillium dahliae is a soil-borne fungus that forms small, dark structures called microsclerotia.
These microsclerotia can survive in the soil for many years, making the disease difficult to manage.
","Hot and Moderate temperatures, typically between 20°C to 25°C (68°F to 77°F).","1) Leaf Wilting: Leaves on one or more branches of the plant will wilt, especially during hot weather. This wilting can be followed by yellowing and eventually death.
2) Stunting: Infected plants may be stunted in growth.
3) Vascular Discoloration: When you cut through the stem of an infected plant, you may see brown discoloration in the vascular tissues, particularly in the xylem.","1) Resistant Varieties: Some tomato cultivars have been bred for resistance to Verticillium dahliae. Using resistant varieties is a highly effective preventive measure.
2) Soil Management: Crop rotation with non-solanaceous crops (plants not related to tomatoes) can help reduce the fungal population in the soil. Fumigation, soil solarization, or soil amendments can be used to reduce the pathogen load in the soil.
3) Sanitation: Remove and destroy infected plants to prevent the spread of the fungus.
4) Fungicides: Fungicides are generally not effective for managing Verticillium wilt, so their use is limited.",TOMATO,2025-04-09T03:47:48.973Z,2025-04-11T12:57:28.949Z
5,TOMATO,Fusarium Wilt (Fusarium oxysporum),"{'url':'9baf26d723281cc197f4a958f7487460e8fbdac3de81947563a09c9fa95b56ec.jpeg','size':54362,'width':223,'height':300,'filename':'Fusarium Wilt.jpeg','metadata':{'width':223,'height':300,'blurHash':'eJEC]l=|NM9bIp?]xutQIVM|-?tRxas8WA_2t7bcSwad%Nxat7V@R%','blurHashWidth':32}}","Fusarium oxysporum is a soil-borne fungus with various formae speciales (f. spp.) 
For Tomato - Fusarium oxysporum f. sp. lycopersici.","Warm soil temperatures, typically between 25°C to 35°C (77°F to 95°F).","1) Yellowing of Lower Leaves: The lower leaves of infected plants start to turn yellow, often starting with the oldest leaves.
2) Wilting: As the disease progresses, the entire plant may become visibly wilted during the day, recovering slightly at night.
3) Stunting: Infected plants are usually stunted in growth.
4) Vascular Browning: When you cut through the stem of an infected plant, you may observe brown discoloration in the vascular tissues.
5)MOA: Fusarium oxysporum infects plants through the roots. It colonizes the root system and subsequently enters the plant's vascular system.
The fungus produces toxins that interfere with water and nutrient transport within the plant, leading to wilting and other symptoms.
6) Spread: Fusarium wilt is favored by warm soil temperatures, typically between 77°F to 95°F (25°C to 35°C).","1) Resistant Varieties: Some tomato cultivars are bred to be resistant to specific formae speciales of Fusarium oxysporum. Using resistant varieties is an effective preventive measure.
2) Soil Management: Crop rotation with non-solanaceous crops (plants not related to tomatoes) can help reduce the fungal population in the soil. Fumigation and solarization of soil may also be used.
3) Sanitation: Remove and destroy infected plants and avoid working in the garden or field when plants are wet to prevent the spread of the fungus.
4) Fungicides: While not a cure for the disease, some fungicides may help manage secondary infections or reduce the spread of the fungus. However, their effectiveness can be limited.",TOMATO,2025-04-09T03:47:48.971Z,2025-04-11T12:56:58.091Z
4,TOMATO,Tomato Yellow Leaf Curl Virus (TYLCV),"{'url':'263b8376843cf3b4ebe824ed7e3850017f9432239c605c8b11b88359069bbd46.JPG','size':10315,'width':256,'height':256,'filename':'Yellow Leaf curl virus.JPG','metadata':{'width':256,'height':256,'blurHash':'e6AnGKIS:{s;MnInaQsrS[oxvanmOkogtd%eR$RlxsbEagWEbpounm','blurHashWidth':32}}","TYLCV family Geminiviridae and is a member of Begomovirus genus.
It is transmitted by the silverleaf whitefly (Bemisia tabaci).","Warm, tropical or Subtropical regions","1) Leaf Curling: Leaves of infected plants tend to curl upward, giving the plant a distinctive appearance.
2) Yellowing: The leaves turn yellow or even whitish-green, particularly along the veins.
3) Stunting: Infected plants may be stunted in growth.
4) Reduced Yield: TYLCV can lead to a significant reduction in fruit yield, and fruits produced on infected plants may be of lower quality.
5) Spread : TYLCV is more prevalent and spreads more readily in warm, tropical or subtropical regions.
The presence of a significant whitefly population can also increase the chances of infection.

TYLCV is primarily transmitted by the whitefly vector","1) Resistant Varieties: Using TYLCV-resistant tomato varieties is one of the most effective strategies for prevention.
2) Whitefly Control: Implementing whitefly control measures, such as using insecticides or introducing natural predators of whiteflies, can help reduce vector populations.
3) Crop Rotation: Avoid planting tomatoes in areas where the virus has previously been present, and implement crop rotation with non-Solanaceae crops.
4) Sanitation: Remove and destroy infected plants promptly, as this can help limit the spread of the virus.",TOMATO,2025-04-09T03:47:48.969Z,2025-04-11T12:56:39.767Z
3,TOMATO,Tomato Mosaic Virus,"{'url':'d3b2ec53913a158eecdb249821fa17ab59c88fd1c6d2dc0f8e838c2e4c212a29.png','size':2039722,'width':1024,'height':1024,'filename':'Mosiac virus.png','metadata':{'width':1024,'height':1024,'blurHash':'eB98wos-HxeZVb.haLRRjIWUMkR8o]oxRRbukmj@jJo]oftOkBbakS','blurHashWidth':32}}","Tomato Mosaic Virus (ToMV) is a member of the Tobamovirus genus.
It is a single-stranded RNA virus.",Warm and Humid conditions.,"1) Mottled Leaves: Leaves may display a mosaic-like pattern with light and dark green areas.
2) Stunting: Infected plants may be stunted or exhibit reduced growth.
3) Curling: Leaf curling and distortion may occur.
4) Reduced Fruit Quality: In some cases, fruit may show mottling, streaking, and deformities. Fruit size can be reduced.
5) Yellowing: Yellowing of infected leaves is common.

ToMV is primarily spread through mechanical means. It can be transmitted through contact with infected plant sap, contaminated hands, tools, or equipment.","1) Resistant Varieties: Some tomato varieties have been bred for resistance to ToMV. Choosing resistant varieties can be an effective preventive measure.
2) Hygiene: Practicing good hygiene, including washing hands, tools, and equipment to prevent the spread of the virus.
3) Rogueing: Promptly removing and destroying infected plants to prevent the virus from spreading.
4) Seed Treatment: Using heat treatment or other approved methods to eliminate the virus from tomato seeds.
5) Fungicides: Although fungicides won't cure viral infections, they may help manage secondary bacterial or fungal infections that can occur in weakened plants.
6) Vector Control: If tobacco (common carrier of Tobamoviruses) is grown nearby, efforts to control it and prevent insect transmission may be necessary.",TOMATO,2025-04-09T03:47:48.968Z,2025-04-11T13:05:56.490Z
2,TOMATO,Late Blight (Phytophthora infestans),"{'url':'1fa1e4bd746986e85053fbe76855a37ea0e30d1679a49a82c90e32e04072dd0e.jpg','size':79943,'width':736,'height':418,'filename':'7262-late-blight-tomato.jpg.jpg','metadata':{'width':736,'height':418,'blurHash':'eHC8E2S?M{%gx?.hR.NaIoRoXyt7tjaKbbyoMfa3nBR7l2RQoyVva4','blurHashWidth':32}}",Late blight - Oomycete pathogen Phytophthora Infestans.,"Cool and Wet conditions, with temperatures between 10-26°C (50-78°F) and high humidity","1) Foliage: Symptoms typically start as dark, water-soaked lesions on the leaves, which quickly enlarge and can appear within a few days.
These lesions are often surrounded by a yellow halo.
2) Stems and Petioles: Stems and petioles can also become infected and exhibit dark lesions.
3) Fruit: Late blight can infect tomato fruits, causing dark, irregularly shaped lesions. Infected fruits can rot rapidly.
4) Spread: The pathogen spreads rapidly under cool and wet conditions, with temperatures between 50-78°F (10-26°C) and high humidity being ideal for its development.
5) Impact: Late blight is one of the most destructive tomato diseases. If not managed promptly, it can lead to widespread defoliation, severely reducing yield and quality.

It can be transmitted through wind-blown spores or rain splashes, which land on healthy plant parts.","1) Fungicides: The application of appropriate fungicides is one of the most common methods for managing late blight. Copper-based fungicides and systemic fungicides are often used.
2) Sanitation: Removing and destroying infected plant material can help reduce the spread of the disease.
3) Spacing: Proper plant spacing and good air circulation can help reduce humidity around the plants, making it less favorable for late blight development.
4) Resistant Varieties: Some tomato varieties are more resistant to late blight, and using these can help prevent infection.",TOMATO,2025-04-09T03:47:48.966Z,2025-04-11T12:55:18.949Z
1,TOMATO,Early Blight (Alternaria solani),"{'url':'e1cf590506f66101b6e7282e967d9b82abf1e43a44e9f23aab3df710e635bc23.JPG','size':12440,'width':256,'height':256,'filename':'E&L Blight.JPG','metadata':{'width':256,'height':256,'blurHash':'eID9-Uo}tU$*xb~qt7bIayV@xys:s%S5R%tRf8V@bYof%LWWRjoJkC','blurHashWidth':32}}",Early blight - Alternaria solani.,Warm and Humid conditions.,"1) Foliage: Symptoms typically begin as small, dark brown lesions with concentric rings on older leaves. These lesions often have a target-like appearance.
2) Lower Leaves: The lower leaves of the plant are usually the first to show symptoms, and as the disease progresses, they may die and drop off.
3) Stems and Fruit: Early blight can also affect stems and fruit, causing dark, sunken lesions on the fruit.
4) Spread: The disease is favored by warm and humid conditions, but it can develop under a wide range of environmental conditions.
5) Impact: While early blight is less aggressive than late blight, it can still significantly reduce the quality and yield of tomato plants, especially if not managed properly.","1) Fungicides: Fungicidal treatments can be effective in controlling early blight. Copper-based fungicides and other fungicides are commonly used.
2) Sanitation: Removal and destruction of infected plant material are essential to reduce the spread of the disease.
3) Crop Rotation: Rotating tomato crops with non-solanaceous crops (plants not related to tomatoes) can help break the disease cycle.
4) Mulching: Mulching around the base of plants can help prevent soil-borne spores from splashing onto leaves.",TOMATO,2025-04-09T03:47:48.963Z,2025-04-11T12:54:41.832Z
